511
07169;4.903667;48.631333;139;ST-DIZIER;52448001;
07180;6.221500;48.687833;212;NANCY-ESSEY;54526001;
07181;5.959833;48.581000;336;NANCY-OCHEY;54405001;
07190;7.640333;48.549500;150;STRASBOURG-ENTZHEIM;67124001;
07197;7.407667;47.928667;207;COLMAR-MEYENHEIM;68205001;
07201;-4.172500;47.972667;90;QUIMPER;29216001;
07203;-3.502333;47.652333;41;ILE DE GROIX;56069001;
07205;-3.435667;47.762833;45;LORIENT-LANN BIHOUE;56185001;
07207;-3.218333;47.294333;34;BELLE ILE-LE TALUT;56009001;
07217;-2.154500;47.313833;3;ST NAZAIRE-MONTOIR;44103001;
07222;-1.608833;47.150000;26;NANTES-BOUGUENAIS;44020001;
07228;-0.317000;47.561833;53;MARCE;49188001;
07230;-0.614333;47.479000;50;BEAUCOUZE;49020001;
07235;0.189667;47.940833;48;LE MANS;72181001;
07240;0.727333;47.444500;108;TOURS;37179001;
07245;1.212333;47.679333;119;BLOIS;41281001;
07247;1.687500;47.319667;83;ROMORANTIN;41097001;
07249;1.776667;47.983333;125;ORLEANS;45055001;
07255;2.359833;47.059167;161;BOURGES;18033001;
07257;2.642167;47.060500;175;AVORD;18092001;
07260;3.112667;46.998333;175;NEVERS-MARZY;58160001;
07266;3.549667;47.824667;152;AUXERRE-PERRIGNY;89295001;
07280;5.088333;47.267833;219;DIJON-LONGVIC;21473001;
07283;5.337500;47.843667;466;LANGRES;52269001;
07288;5.988833;47.249000;307;BESANCON;25056001;
07292;6.364333;47.787000;271;LUXEUIL;70473001;
07296;6.837000;47.591667;401;DORANS;90035001;
07299;7.510000;47.614333;263;BALE-MULHOUSE;68297001;
07300;-2.330167;46.693667;32;L ILE D YEU;85113001;
07306;-1.381667;46.700333;90;LA ROCHE SUR YON;85191003;
07314;-1.411667;46.046833;11;PTE DE CHASSIRON;17323001;
07316;-1.193167;46.178000;20;LA ROCHELLE AERODROME;17300009;
07317;-0.984667;45.888000;18;ST AGNANT;17308001;
07330;-0.400167;46.315500;57;NIORT;79191005;
07335;0.314333;46.593833;123;POITIERS-BIARD;86027001;
07354;1.741000;46.869833;158;CHATEAUROUX  DEOLS;36063001;
07361;1.950333;46.175500;365;GUERET-ST LAURENT;23206002;
07374;3.398667;46.166667;249;VICHY-CHARMEIL;03060001;
07379;4.024833;46.412000;242;ST YAN;71491001;
07385;4.798667;46.296667;216;MACON;71105001;
07386;5.427167;47.043833;195;TAVAUX SA;39526003;
07412;-0.315833;45.665000;30;COGNAC;16089001;
07434;1.175000;45.861167;402;LIMOGES-BELLEGARDE;87085006;
07438;1.474333;45.148000;112;BRIVE;19031008;
07439;1.491667;45.036333;295;NESPOULS;19147001;
07460;3.149333;45.786833;331;CLERMONT-FD;63113001;
07471;3.764000;45.074500;833;LE PUY-LOUDES;43062001;
07475;4.293333;45.533000;400;ST ETIENNE-BOUTHEON;42005001;
07477;4.006667;46.053333;337;AERO_ROANNE;42253002;
07480;4.937833;45.726000;197;LYON-BRON;69029001;
07481;5.077833;45.726500;235;LYON-ST EXUPERY;69299001;
07482;5.329333;45.976500;250;AMBERIEU;01089001;
07486;5.313333;45.364000;384;GRENOBLE-ST GEOIRS;38384001;
07487;5.848500;45.217167;220;GRENOBLE - LVD;38538002;
07490;6.105833;45.929667;458;MEYTHET;74182001;
07491;5.878000;45.641333;235;CHAMBERY-AIX;73329001;
07497;6.763333;45.612667;865;BOURG ST MAURICE;73054001;
07500;-1.248333;44.631667;9;LEGE-CAP-FERRET;33236002;
07502;-1.132000;44.534667;23;CAZAUX;33529001;
07503;-1.247500;44.431667;35;BISCARROSSE;40046001;
07510;-0.691333;44.830667;47;BORDEAUX-MERIGNAC;33281001;
07524;0.594667;44.172167;58;AGEN;47091001;
07530;0.524167;44.823000;49;BERGERAC;24037005;
07535;1.396667;44.745000;260;GOURDON;46127001;
07540;1.376667;44.028000;106;MONTAUBAN;82121002;
07549;2.421000;44.898667;639;AURILLAC;15014004;
07552;2.482500;44.410333;578;SALLES LA SOURC;12254001;
07554;3.454500;44.533667;932;MENDE;48095005;
07558;3.019500;44.118500;712;MILLAU;12145001;
07560;3.581500;44.121333;1567;MONT AIGOUAL;30339001;
07563;4.902500;43.911333;34;AVIGNON;84007005;
07570;4.367167;44.538333;280;LANAS SYN;07131001;
07577;4.733000;44.581167;73;MONTELIMAR;26198001;
07579;4.861000;44.144500;57;ORANGE;84087001;
07586;5.059167;44.083000;99;CARPENTRAS;84031001;
07588;5.989667;44.062167;458;ST AUBAN;04049001;
07591;6.502333;44.565667;871;EMBRUN;05046001;
07600;-1.686500;43.394500;21;PTE DE SOCOA;64189001;
07602;-1.534333;43.469333;71;BIARRITZ-ANGLET;64024001;
07603;-1.070000;43.689833;31;DAX;40088001;
07607;-0.500167;43.909833;59;MONT-DE-MARSAN;40192001;
07610;-0.416333;43.385000;183;PAU-UZEIN;64549001;
07621;0.000000;43.188000;360;TARBES-OSSUN;65344001;
07622;0.601167;43.689000;122;AUCH;32013005;
07627;1.106833;43.005333;414;ST GIRONS;09289001;
07628;1.262000;43.451500;189;LHERM/SA;31299001;
07630;1.378833;43.621000;151;TOULOUSE-BLAGNAC;31069001;
07631;1.372667;43.540333;164;TOULOUSE-FRANCAZAL;31157001;
07632;2.116333;43.914667;172;ALBI;81284001;
07635;2.295500;43.215333;128;CARCASSONNE;11069001;
07638;3.352667;43.322000;15;BEZIERS-VIAS;34209002;
07641;3.692167;43.397333;80;SETE;34301002;
07643;3.963167;43.577000;2;MONTPELLIER;34154001;
07645;4.406333;43.856833;59;NIMES-COURBESSAC;30189001;
07646;4.412000;43.758167;92;NIMES-GARONS;30258001;
07647;4.922167;43.523000;23;ISTRES;13047001;
07648;5.104167;43.603500;58;SALON DE PROVENCE;13103001;
07650;5.216000;43.437667;9;MARIGNANE;13054001;
07660;5.931333;43.103833;23;TOULON;83137001;
07661;5.940833;43.079333;115;CAP CEPET;83153001;
07666;3.061667;42.918333;42;LEUCATE;11202001;
07667;6.146333;43.094333;2;HYERES;83069001;
07675;6.386167;43.383167;80;LE LUC;83031001;
07678;6.469333;43.032500;118;ILE DU LEVANT;83069003;
07684;6.950500;43.556500;2;CANNES;06029001;
07690;7.209000;43.648833;2;NICE;06088001;
07747;2.872833;42.737167;42;PERPIGNAN;66136001;
07749;3.135000;42.516667;82;CAP BEAR;66148001;
07753;8.922667;42.633167;142;ILE ROUSSE;20093002;
07754;8.791500;42.529500;57;CALVI;20050001;
07761;8.792667;41.918000;5;AJACCIO;20004002;
07765;9.397333;41.923833;17;SOLENZARA;20342001;
07770;9.178333;41.374833;107;CAP PERTUSATO;20041001;
07775;9.541000;42.260333;65;ALISTRO;20303002;
07780;9.103667;41.505167;20;FIGARI;20114002;
07785;9.358667;43.005000;104;CAP CORSE;20107001;
07790;9.485167;42.540667;10;BASTIA;20148001;
08021;-3.816670;43.416670;5;SANTANDER/PARAYAS;0;
08025;-2.900000;43.283340;42;BILBAO/AEROPUERTO;0;
08080;-2.733340;42.866670;513;VITORIA;0;
08084;-2.316670;42.450000;353;LOGRONO/AGONCILLO;0;
08085;-1.650000;42.766670;459;PAMPLONA/NOAIN;0;
08181;2.066670;41.283340;4;BARCELONA/AEROPUERTO;0;
08184;2.750000;41.900000;143;GIRONA/COSTA BRAVA;0;
08221;-3.550000;40.466670;609;MADRID/BARAJAS;0;
10400;6.766670;51.283340;36;DUESSELDORF;0;
10410;6.966670;51.400000;150;ESSEN-BREDENEY;0;
10418;7.633340;51.233340;386;LUEDENSCHEID;0;
10424;7.883340;51.566670;84;WERL;0;
10430;8.833340;51.783340;157;BAD LIPPSPRINGE;0;
10433;9.266670;51.866670;258;LUEGDE-PAENBRUCH;0;
10435;9.100000;51.500000;235;WARBURG;0;
10439;9.283340;51.116670;172;FRITZLAR (FLUGPLATZ);0;
10441;9.358890;51.283330;317;SCHAUENBURG-ELGERSHAUSEN;0;
10442;9.800000;51.966670;143;ALFELD;0;
10444;9.950000;51.500000;167;GOETTINGEN;0;
10449;10.300000;51.383340;356;LEINEFELDE;0;
10452;10.600000;51.716670;607;BRAUNLAGE;0;
10454;10.766670;51.833340;234;WERNIGERODE;0;
10500;6.050000;50.966670;90;GEILENKIRCHEN;0;
10502;6.650000;50.816670;111;NOERVENICH (FLUGPLATZ);0;
10505;6.016670;50.783340;230;AACHEN-ORSBACH;0;
10506;6.866670;50.350000;485;NUERBURG-BARWEILER;0;
10513;7.150000;50.850000;92;KOELN/BONN;0;
10516;7.583340;50.366670;84;KOBLENZ (FALKENSTEIN-KASERNE);0;
10519;7.183340;50.733340;159;BONN-ROLEBER;0;
10520;7.416670;50.416670;75;ANDERNACH;0;
10526;7.950000;50.650000;547;BAD MARIENBERG;0;
10532;8.650000;50.600000;202;GIESSEN-WETTENBERG;0;
10534;9.216670;50.500000;743;HOHERODSKOPF-VOGELSBERG;0;
10537;9.016670;50.750000;350;NEU ULRICHSTEIN;0;
10540;10.350000;51.000000;312;EISENACH;0;
10542;9.733340;50.850000;272;BAD HERSFELD;0;
10548;10.366670;50.550000;450;MEININGEN;0;
10554;10.950000;50.983340;316;ERFURT-WEIMER;0;
10609;6.650000;49.733340;265;TRIER-PETRISBERG;0;
10613;7.050000;50.166670;477;BUECHEL (FLUGPLATZ);0;
10615;7.050000;49.750000;480;DEUSELBACH;0;
10616;7.250000;49.933340;497;HAHN;0;
10628;7.950000;49.983340;110;GEISENHEIM;0;
10637;8.583340;50.033340;112;FRANKFURT/MAIN;0;
10641;8.783340;50.083340;118;OFFENBACH-WETTERPARK;0;
10646;9.416670;50.000000;339;NEUHUTTEN-SPESSART;0;
10648;9.100000;49.716670;453;MICHELSTADT-VIELBRUNN;0;
10655;9.950000;49.766670;268;WUERZBURG;0;
10658;10.066670;50.216670;281;BAD KISSINGEN;0;
10671;10.966670;50.300000;344;LAUTERTAL-OBERLAUTER;0;
10675;10.916670;49.866670;240;BAMBERG;0;
10704;6.683340;49.250000;363;BERUS;0;
10706;7.033340;49.466670;385;THOLEY;0;
10708;7.100000;49.200000;320;SAARBRUECKEN/ENSHEIM;0;
10724;8.116670;49.366670;553;WEINBIET;0;
10729;8.550000;49.500000;96;MANNHEIM;0;
10731;8.316670;48.966670;116;RHEINSTETTEN;0;
10733;8.900000;49.283340;236;WAIBSTADT;0;
10736;8.866670;48.966670;244;MUEHLACKER;0;
10738;9.216670;48.683340;371;STUTTGART-ECHTERDINGEN;0;
10739;9.200000;48.816670;314;STUTTGART/SCHNARRENBERG;0;
10742;9.516670;49.200000;275;OEHRINGEN;0;
10743;9.950000;49.383340;473;NIEDERSTETTEN;0;
10747;9.683340;48.916670;488;KAISERSBACH-CRONHUETTE;0;
10756;10.366670;49.150000;475;FEUCHTWANGEN-HEILBRONN;0;
10761;10.950000;49.016670;422;WEISSENBURG;0;
10803;7.833340;48.016670;236;FREIBURG;0;
10805;7.816670;48.350000;155;LAHR;0;
10836;9.850000;48.666670;733;STOETTEN;0;
10837;9.900000;48.216670;539;LAUPHEIM;0;
10840;9.921670;48.441670;593;ULM-MAEHRINGEN;0;
10850;10.700000;48.783340;501;HARBURG;0;
10852;10.933340;48.416670;461;AUGSBURG;0;
10856;10.850000;48.183340;550;LECHFELD;0;
10857;10.900000;48.066670;621;LANDSBERG (FLUGPLATZ);0;
10929;9.183340;47.666670;442;KONSTANZ;0;
10945;10.033340;47.783340;671;LEUTKIRCH-HERLAZHOFEN;0;
10946;10.333340;47.716670;705;KEMPTEN;0;
11105;9.600000;47.266670;438;FELDKIRCH;0;
11301;9.833340;47.450000;715;ALBERSCHWENDE;0;
11302;9.716670;47.416670;407;DORNBIRN;0;
11314;10.700000;47.483340;841;REUTTE;0;
16088;10.266670;45.416670;102;BRESCIA/GHEDI;0;
16153;8.166670;43.950000;220;CAPO MELE;0;
16522;8.150000;40.550000;200;CAPO CACCIA;0;


